script_name,category,ticker,backtest_file,pine_file,roi_pct,max_drawdown_pct,sharpe_ratio,sortino_ratio,expectancy_pct,num_trades,win_rate_pct,profit_factor,error
,trend_analysis,SPY,/root/.openclaw/workspace/openclaw-tradingview/backtests/trend_analysis/turtle-trader-desk-market-analysis-by-m-zeeshan-mit-alumni.py,/root/.openclaw/workspace/openclaw-tradingview/pinescript/trend_analysis/turtle-trader-desk-market-analysis-by-m-zeeshan-mit-alumni.pine,,,,,,,,,"Failed to load /root/.openclaw/workspace/openclaw-tradingview/backtests/trend_analysis/turtle-trader-desk-market-analysis-by-m-zeeshan-mit-alumni.py: exec() globals must be a dict, not types.SimpleNamespace"
,trend_analysis,BTC-USD,/root/.openclaw/workspace/openclaw-tradingview/backtests/trend_analysis/turtle-trader-desk-market-analysis-by-m-zeeshan-mit-alumni.py,/root/.openclaw/workspace/openclaw-tradingview/pinescript/trend_analysis/turtle-trader-desk-market-analysis-by-m-zeeshan-mit-alumni.pine,,,,,,,,,"Failed to load /root/.openclaw/workspace/openclaw-tradingview/backtests/trend_analysis/turtle-trader-desk-market-analysis-by-m-zeeshan-mit-alumni.py: exec() globals must be a dict, not types.SimpleNamespace"
,trend_analysis,QQQ,/root/.openclaw/workspace/openclaw-tradingview/backtests/trend_analysis/turtle-trader-desk-market-analysis-by-m-zeeshan-mit-alumni.py,/root/.openclaw/workspace/openclaw-tradingview/pinescript/trend_analysis/turtle-trader-desk-market-analysis-by-m-zeeshan-mit-alumni.pine,,,,,,,,,"Failed to load /root/.openclaw/workspace/openclaw-tradingview/backtests/trend_analysis/turtle-trader-desk-market-analysis-by-m-zeeshan-mit-alumni.py: exec() globals must be a dict, not types.SimpleNamespace"
,trend_analysis,SPY,/root/.openclaw/workspace/openclaw-tradingview/backtests/trend_analysis/apex-chartfanatics-bubbles-clusters-sweeps.py,/root/.openclaw/workspace/openclaw-tradingview/pinescript/trend_analysis/apex-chartfanatics-bubbles-clusters-sweeps.pine,,,,,,,,,"Failed to load /root/.openclaw/workspace/openclaw-tradingview/backtests/trend_analysis/apex-chartfanatics-bubbles-clusters-sweeps.py: exec() globals must be a dict, not types.SimpleNamespace"
,trend_analysis,BTC-USD,/root/.openclaw/workspace/openclaw-tradingview/backtests/trend_analysis/apex-chartfanatics-bubbles-clusters-sweeps.py,/root/.openclaw/workspace/openclaw-tradingview/pinescript/trend_analysis/apex-chartfanatics-bubbles-clusters-sweeps.pine,,,,,,,,,"Failed to load /root/.openclaw/workspace/openclaw-tradingview/backtests/trend_analysis/apex-chartfanatics-bubbles-clusters-sweeps.py: exec() globals must be a dict, not types.SimpleNamespace"
,trend_analysis,QQQ,/root/.openclaw/workspace/openclaw-tradingview/backtests/trend_analysis/apex-chartfanatics-bubbles-clusters-sweeps.py,/root/.openclaw/workspace/openclaw-tradingview/pinescript/trend_analysis/apex-chartfanatics-bubbles-clusters-sweeps.pine,,,,,,,,,"Failed to load /root/.openclaw/workspace/openclaw-tradingview/backtests/trend_analysis/apex-chartfanatics-bubbles-clusters-sweeps.py: exec() globals must be a dict, not types.SimpleNamespace"
,trend_analysis,SPY,/root/.openclaw/workspace/openclaw-tradingview/backtests/trend_analysis/elite-session-volume-distribution-engine-joat.py,/root/.openclaw/workspace/openclaw-tradingview/pinescript/trend_analysis/elite-session-volume-distribution-engine-joat.pine,,,,,,,,,"Failed to load /root/.openclaw/workspace/openclaw-tradingview/backtests/trend_analysis/elite-session-volume-distribution-engine-joat.py: exec() globals must be a dict, not types.SimpleNamespace"
,trend_analysis,BTC-USD,/root/.openclaw/workspace/openclaw-tradingview/backtests/trend_analysis/elite-session-volume-distribution-engine-joat.py,/root/.openclaw/workspace/openclaw-tradingview/pinescript/trend_analysis/elite-session-volume-distribution-engine-joat.pine,,,,,,,,,"Failed to load /root/.openclaw/workspace/openclaw-tradingview/backtests/trend_analysis/elite-session-volume-distribution-engine-joat.py: exec() globals must be a dict, not types.SimpleNamespace"
,trend_analysis,QQQ,/root/.openclaw/workspace/openclaw-tradingview/backtests/trend_analysis/elite-session-volume-distribution-engine-joat.py,/root/.openclaw/workspace/openclaw-tradingview/pinescript/trend_analysis/elite-session-volume-distribution-engine-joat.pine,,,,,,,,,"Failed to load /root/.openclaw/workspace/openclaw-tradingview/backtests/trend_analysis/elite-session-volume-distribution-engine-joat.py: exec() globals must be a dict, not types.SimpleNamespace"
,trend_analysis,SPY,/root/.openclaw/workspace/openclaw-tradingview/backtests/trend_analysis/delta-ladder-order-flow-ualgo.py,/root/.openclaw/workspace/openclaw-tradingview/pinescript/trend_analysis/delta-ladder-order-flow-ualgo.pine,,,,,,,,,"Failed to load /root/.openclaw/workspace/openclaw-tradingview/backtests/trend_analysis/delta-ladder-order-flow-ualgo.py: exec() globals must be a dict, not types.SimpleNamespace"
,trend_analysis,BTC-USD,/root/.openclaw/workspace/openclaw-tradingview/backtests/trend_analysis/delta-ladder-order-flow-ualgo.py,/root/.openclaw/workspace/openclaw-tradingview/pinescript/trend_analysis/delta-ladder-order-flow-ualgo.pine,,,,,,,,,"Failed to load /root/.openclaw/workspace/openclaw-tradingview/backtests/trend_analysis/delta-ladder-order-flow-ualgo.py: exec() globals must be a dict, not types.SimpleNamespace"
,trend_analysis,QQQ,/root/.openclaw/workspace/openclaw-tradingview/backtests/trend_analysis/delta-ladder-order-flow-ualgo.py,/root/.openclaw/workspace/openclaw-tradingview/pinescript/trend_analysis/delta-ladder-order-flow-ualgo.pine,,,,,,,,,"Failed to load /root/.openclaw/workspace/openclaw-tradingview/backtests/trend_analysis/delta-ladder-order-flow-ualgo.py: exec() globals must be a dict, not types.SimpleNamespace"
,trend_analysis,SPY,/root/.openclaw/workspace/openclaw-tradingview/backtests/trend_analysis/target-radar.py,/root/.openclaw/workspace/openclaw-tradingview/pinescript/trend_analysis/target-radar.pine,,,,,,,,,"Failed to load /root/.openclaw/workspace/openclaw-tradingview/backtests/trend_analysis/target-radar.py: exec() globals must be a dict, not types.SimpleNamespace"
,trend_analysis,BTC-USD,/root/.openclaw/workspace/openclaw-tradingview/backtests/trend_analysis/target-radar.py,/root/.openclaw/workspace/openclaw-tradingview/pinescript/trend_analysis/target-radar.pine,,,,,,,,,"Failed to load /root/.openclaw/workspace/openclaw-tradingview/backtests/trend_analysis/target-radar.py: exec() globals must be a dict, not types.SimpleNamespace"
,trend_analysis,QQQ,/root/.openclaw/workspace/openclaw-tradingview/backtests/trend_analysis/target-radar.py,/root/.openclaw/workspace/openclaw-tradingview/pinescript/trend_analysis/target-radar.pine,,,,,,,,,"Failed to load /root/.openclaw/workspace/openclaw-tradingview/backtests/trend_analysis/target-radar.py: exec() globals must be a dict, not types.SimpleNamespace"
